queries,step
How to know if I have an existing license,step1-Introduction
What should I do here,step0-Bot
Does water sustainability act applies to me ?,step1-Introduction
I am a farmer with 200 cows, step1-Introduction
What is BCeID ? Do I need One?,step1-Introduction
What will happen if I don’t Login?,step1-Introduction
I am a first nation farm owner - Am I eligible ?,step2-Eligibility
Do I need a licence for a hobby farm?,step2-Eligibility
What is North coast Transmission line ?,step2-Eligibility
I am not sure about other options here,step2-Eligibility
Will I get fee exemption I belong to first nation communituy in Northern BC ?,step3-Technical-Information-Fee-Exemption-Request
I am using a water from a near by stream,step3-Technical-Information-Water-Diversion
Where do I find my client number ?,step3-Technical-Information-Water-Diversion
How do I calculate watering for 200 cows ?,step3-AddPurpose-Consolidated
How do I calculate the total annual quantity?,step3-AddPurpose-Consolidated
Can you calculate it for me?,step3-AddPurpose-Consolidated
How do I measure max rate of diversion?,step3-AddPurpose-Consolidated
How do I use agriculture calculator?,step3-AddPurpose-Consolidated
What's jpg?, step5-Document-Upload
Guideline of drawing to scale?, step5-Document-Upload
what are the requirment of joint work agreement?, step5-Document-Upload
getting some error while uploading the document?, step5-Document-Upload
what is this page for?, step6-Privacy-Confirmation
how is my personal information collected and used?, step6-Privacy-Confirmation
What are the guideline of letter of agency?,step7-Contact-Information
what are the guideline for will?, step7-Contact-Information
Do I need to add co-applicant?, step7-Contact-Information
do you have the template or guideline for the co-applicant approval form?,  step7-Contact-Information
what is this page?, step8-Review
what is this page?, step9-Declarations
what is this ACT?, step9-Declarations
What extra information need to add in other information box,step10-Complete
what are the types of payment?,step10-Complete
Iam facing some issue while trying to pay?,step10-Complete
